country,year,indicator,hh,hh_lo,hh_hi,plot,plot_lo,plot_hi,area,area_lo,area_hi,n_plot,n_hh
Uganda,2018,parcel_certificate,0.12684179921051222,0.12684179921051222,0.12684179921051222,0.09096108641512768,0.09096108641512768,0.09096108641512768,0.125271825940794,0.125271825940794,0.125271825940794,5723,2619
Uganda,2019,parcel_rentedin,0.1876137673640301,0.1876137673640301,0.1876137673640301,0.11577937073703455,0.11577937073703455,0.11577937073703455,0.0823492881777922,0.0823492881777922,0.0823492881777922,5365,2498
Uganda,2019,parcel_rentedout,0.024013896444395277,0.024013896444395277,0.024013896444395277,0.012507839787224391,0.012507839787224391,0.012507839787224391,0.010743025327314614,0.010743025327314614,0.010743025327314614,5365,2498
Uganda,2019,parcel_purchased,0.3458880795208687,0.3458880795208687,0.3458880795208687,0.25447722435675885,0.25447722435675885,0.25447722435675885,0.27249046774329516,0.27249046774329516,0.27249046774329516,5349,2498
Uganda,2019,parcel_certificate,0.07529606276669114,0.07529606276669114,0.07529606276669114,0.045293603054269015,0.045293603054269015,0.045293603054269015,0.045921399672794024,0.045921399672794024,0.045921399672794024,5349,2498
Zambia,2012,parcel_rentedin,0.02987540323129199,0.024515659640372937,0.035235146822211044,0.013138095979915295,0.010672097728875226,0.015604094230955365,0.011309298806902386,0.008711708930920126,0.013906888682884646,33596,8716
Zambia,2012,parcel_rentedout,0.004930386106248857,0.0027920799656350696,0.007068692246862645,0.0017378195506606493,0.0009546079868720519,0.002521031114449247,0.0028108509896145844,0.0013039463497120658,0.004317755629517103,33596,8716
Zambia,2012,parcel_purchased,0.056360009082514075,0.047458603210539,0.06526141495448916,0.04737042305057746,0.03885713174761854,0.05588371435353638,0.06342774024939352,0.048236429689474156,0.07861905080931288,33532,8712
Zambia,2012,parcel_certificate,0.08586399863028887,0.07137848256794815,0.1003495146926296,0.07035286694642585,0.05681675535739217,0.08388897853545954,0.08349438846808169,0.06286107384370472,0.10412770309245865,33493,8686
Zambia,2015,parcel_rentedin,0.037789578106416574,0.030379728628733584,0.04519942758409956,0.015528076771004543,0.01182457943203402,0.019231574109975065,0.012828293760185914,0.008971611768860811,0.016684975751511018,30800,7798
Zambia,2015,parcel_rentedout,0.011248057156666486,0.007782716909724071,0.014713397403608901,0.00321528814245059,0.0022443169331950127,0.004186259351706168,0.004477689163948832,0.0026536158241407736,0.00630176250375689,30800,7798
Zambia,2015,parcel_purchased,0.06774773289532386,0.05766518418597531,0.07783028160467241,0.057260287200761345,0.04767340369571825,0.06684717070580444,0.08383469987839154,0.0657814276713735,0.10188797208540958,29520,7532
Zambia,2015,parcel_certificate,0.054028123403153154,0.04387196242018943,0.06418428438611687,0.04718365052463947,0.03609682583141795,0.058270475217860995,0.0658595075227046,0.04598712684786876,0.08573188819754043,29574,7533
